psv_attack_pref,mk_dv,psv_country_fac,psv_context,psv_context_fac,psv_nuc_effective,mk_context_fac,mk_main_treat,hypothetical,mk_cont_pool,psv_correct_recall,mk_correct_recall,Gender,race,party,mk_context,psv_time,mk_time,psv_abst_conc_score,mk_abst_conc_score,knowledge_scale,nfc_scale,age,edu
1,4,No-Name,1,Reduced,0,Extra Non-Innocuous,0,1,1,0,0,Female,2,1,2,6.54,6.156,0,2,0,NA,23,1
4,4,Bolivia,1,Reduced,1,Extra Innocuous,0,0,1,1,0,Female,1,1,1,899.626,86.63,3,2,1,NA,62,2
1,4,Syria,1,Reduced,0,Extra Innocuous,1,0,1,1,0,Female,1,2,1,48.981,69.536,4,2,1,2.875,59,2
2,3,Syria,0,Original,0,Extra Innocuous,0,1,1,1,1,Female,1,2,1,157.795,50.941,4,1,0,2.5,58,2
4,2,Bolivia,0,Original,1,Original,0,0,0,1,1,Male,1,3,0,298.863,54.602,4,1,1,3,57,2
4,4,Bolivia,0,Original,0,Extra Non-Innocuous,0,0,1,0,1,Female,1,2,2,26.352,12.29,4,3,1,NA,36,2
4,3,Bolivia,1,Reduced,1,Extra Non-Innocuous,1,0,1,1,0,Female,1,1,2,493.569,59.344,3,3,1,3,31,2
2,2,No-Name,1,Reduced,1,Extra Non-Innocuous,0,1,1,1,1,Female,1,3,2,75.297,57.542,0,2,2,2.625,61,2
2,3,No-Name,0,Original,1,Extra Non-Innocuous,1,1,1,0,0,Male,1,4,2,10.078,17.586,1,2,0,2.875,47,2
3,4,Syria,1,Reduced,1,Original,0,0,0,1,0,Male,1,2,0,33.351,16.74,4,1,1,3,62,2
2,2,Syria,1,Reduced,0,Extra Non-Innocuous,0,1,1,1,0,Female,1,1,2,48.159,39.927,3,2,0,NA,63,2
3,4,No-Name,0,Original,1,Original,0,0,0,1,0,Male,2,4,0,4.708,2.912,2,1,0,3,59,2
1,3,Malaguay,1,Reduced,0,Extra Innocuous,1,0,1,1,1,Female,1,4,1,96.792,50.722,2,2,0,2.625,52,2
2,4,Malaguay,0,Original,0,Extra Innocuous,1,1,1,1,0,Female,1,2,1,217.69,118.146,2,1,0,NA,64,2
2,4,Syria,1,Reduced,0,Original,0,1,0,0,0,Female,1,2,0,49.66,11.474,3,0,1,3.125,57,2
1,2,Bolivia,1,Reduced,0,Extra Innocuous,1,1,1,1,0,Female,1,1,1,47.718,31.483,2,1,1,NA,60,2
1,4,No-Name,1,Reduced,1,Original,0,0,0,0,1,Female,1,3,0,61.62,27.127,1,1,1,1.75,33,2
3,3,Syria,1,Reduced,1,Extra Non-Innocuous,0,0,1,1,0,Female,1,2,2,71.301,55.083,4,3,1,3.125,37,2
2,2,Malaguay,0,Original,0,Extra Innocuous,1,0,1,0,0,Male,1,1,1,62.294,101.79,3,2,1,NA,62,2
2,4,No-Name,1,Reduced,1,Extra Non-Innocuous,0,1,1,0,0,Female,1,3,2,22.677,13.827,0,2,0,NA,61,2
3,3,Syria,1,Reduced,1,Extra Innocuous,1,1,1,1,1,Female,1,3,1,109.032,62.239,3,1,2,NA,64,2
2,2,Syria,1,Reduced,0,Extra Non-Innocuous,0,1,1,1,1,Female,4,3,2,93.638,67.903,3,2,1,NA,33,2
2,2,Bolivia,0,Original,0,Original,0,0,0,1,1,Female,1,2,0,118.709,15.223,4,1,2,3.875,60,2
2,4,Syria,1,Reduced,1,Original,1,1,0,0,0,Female,1,3,0,5.958,3.689,3,0,0,NA,19,3
3,4,Malaguay,1,Reduced,1,Extra Innocuous,1,0,1,1,0,Female,1,2,1,122.544,49.298,2,2,0,3.5,54,2
2,3,No-Name,0,Original,0,Original,0,0,0,1,1,Female,1,2,0,263.477,45.287,2,1,1,3,57,2
1,4,Syria,1,Reduced,0,Extra Non-Innocuous,1,0,1,1,0,Female,1,1,2,74.831,60.029,4,3,1,NA,60,2
2,3,No-Name,0,Original,1,Extra Non-Innocuous,0,0,1,0,0,Female,1,2,2,22.483,18.252,2,3,2,NA,56,2
2,2,Bolivia,1,Reduced,0,Extra Innocuous,0,0,1,1,1,Female,1,4,1,77.6,28.838,3,2,0,NA,36,2
1,4,Syria,0,Original,0,Original,0,1,0,1,1,Male,1,3,0,272.471,68.112,4,0,2,NA,37,2
1,4,Malaguay,0,Original,1,Extra Non-Innocuous,1,0,1,1,0,Female,1,1,2,291.817,134.447,3,3,0,NA,55,2
2,3,No-Name,0,Original,1,Extra Innocuous,0,0,1,0,0,Male,1,1,1,22.592,1452.489,2,2,1,NA,56,2
1,3,Malaguay,0,Original,0,Original,1,0,0,1,0,Male,1,1,0,250.433,34.678,3,1,2,2.875,55,2
2,4,Bolivia,1,Reduced,1,Extra Innocuous,1,0,1,0,0,Female,1,2,1,8.872,5.233,3,2,1,2.625,39,2
3,2,Bolivia,1,Reduced,1,Extra Innocuous,0,1,1,1,1,Male,4,1,1,13.068,13.731,2,1,1,3.375,44,6
4,1,Syria,1,Reduced,1,Extra Innocuous,0,1,1,1,1,Female,1,1,1,136.2,547.98,3,1,1,2.5,65,2
1,4,No-Name,0,Original,0,Extra Non-Innocuous,0,1,1,0,1,Female,1,1,2,105.936,26.968,1,2,0,3.625,56,2
4,2,Bolivia,1,Reduced,0,Original,0,1,0,1,1,Male,5,3,0,118.647,43.634,2,0,0,3.75,61,2
3,2,Bolivia,0,Original,1,Extra Innocuous,0,0,1,1,1,Female,1,2,1,1147.753,82.741,4,2,1,2.625,51,2
2,3,Syria,1,Reduced,0,Extra Innocuous,1,1,1,1,0,Female,2,1,1,64.931,14.35,3,1,0,2.75,52,2
1,4,Syria,0,Original,1,Extra Innocuous,1,1,1,1,0,Female,1,3,1,64.945,26.772,4,1,0,3.25,59,2
1,1,Bolivia,0,Original,0,Extra Non-Innocuous,0,1,1,1,1,Female,1,1,2,155.076,106.223,3,2,1,3,50,2
2,4,Bolivia,0,Original,1,Original,1,0,0,1,0,Female,2,1,0,103.139,20.596,4,1,0,2.875,58,2
1,2,No-Name,1,Reduced,0,Original,0,0,0,0,1,Female,1,1,0,102.088,47.546,1,1,1,2.125,58,2
3,2,Syria,1,Reduced,1,Original,0,0,0,1,1,Female,1,2,0,148.227,56.912,4,1,2,2.875,63,2
1,4,Malaguay,0,Original,1,Extra Non-Innocuous,0,1,1,0,1,Female,1,1,2,12.732,11.972,2,2,0,2.5,66,4
4,4,Malaguay,0,Original,1,Original,0,0,0,1,0,Female,1,2,0,179.445,30.907,3,1,2,3.5,56,2
2,2,No-Name,1,Reduced,0,Original,0,1,0,0,1,Female,1,1,0,542.449,52.7,0,0,1,2.75,60,1
2,2,No-Name,1,Reduced,1,Extra Innocuous,0,0,1,0,0,Female,1,4,1,15.885,24.717,1,2,1,3.75,54,2
2,3,Malaguay,0,Original,0,Extra Non-Innocuous,0,0,1,1,0,Female,1,1,2,181.355,89.223,3,3,2,3.375,65,2
4,1,Syria,1,Reduced,1,Extra Innocuous,0,0,1,1,1,Female,1,2,1,197.154,25.866,4,2,0,3,49,2
2,4,No-Name,1,Reduced,0,Original,0,1,0,0,0,Female,1,3,0,7.225,7.682,0,0,1,3.125,22,2
2,2,Bolivia,0,Original,0,Extra Non-Innocuous,0,1,1,0,0,Male,7,4,2,3.958,8.03,3,2,1,2.5,55,4
1,3,Bolivia,0,Original,1,Extra Non-Innocuous,1,0,1,1,1,Female,1,1,2,289.435,50.266,4,3,1,2.625,24,2
4,3,No-Name,0,Original,0,Original,1,0,0,0,1,Female,1,1,0,171.118,27.983,2,1,1,3.25,38,2
2,4,No-Name,1,Reduced,1,Extra Non-Innocuous,1,1,1,1,0,Male,1,1,2,84.701,85.981,0,2,0,3.375,25,3
1,4,Syria,0,Original,0,Extra Non-Innocuous,0,0,1,0,1,Male,3,2,2,35.518,108.757,5,3,0,2.25,53,1
4,4,Syria,1,Reduced,1,Original,0,1,0,1,1,Male,1,2,0,95.198,27.024,3,0,1,2,64,3
1,2,No-Name,1,Reduced,1,Extra Innocuous,0,0,1,1,0,Female,1,4,1,5.09,5.366,1,2,2,3.5,39,1
2,1,Syria,0,Original,1,Original,1,0,0,0,0,Female,2,1,0,182.123,28.978,5,1,1,3.375,63,2
1,3,Bolivia,1,Reduced,0,Extra Non-Innocuous,0,1,1,1,1,Male,1,2,2,96.417,68.861,2,2,0,3.25,27,1
2,4,Bolivia,0,Original,1,Original,1,1,0,0,0,Female,1,4,0,33.628,18,3,0,0,2.875,28,2
2,3,Syria,0,Original,1,Original,0,0,0,0,0,Male,1,3,0,46.122,26.132,5,1,1,2.625,24,2
2,3,Syria,1,Reduced,0,Extra Innocuous,0,0,1,1,0,Female,1,3,1,41.608,22.165,4,2,1,2.5,46,4
2,4,Bolivia,1,Reduced,1,Extra Innocuous,1,1,1,0,0,Female,1,2,1,46.106,20.497,2,1,0,2.25,47,2
3,4,Malaguay,0,Original,1,Extra Innocuous,0,1,1,0,1,Female,1,1,1,5.134,4.49,2,1,1,4.125,23,2
1,4,Malaguay,1,Reduced,1,Extra Non-Innocuous,1,1,1,1,1,Female,1,2,2,114.284,61.701,1,2,1,3,57,2
2,4,Bolivia,1,Reduced,0,Extra Innocuous,0,0,1,0,1,Male,1,2,1,2.19,10.817,3,2,0,2.375,31,1
2,4,Syria,1,Reduced,0,Extra Non-Innocuous,0,1,1,0,1,Female,4,1,2,2.967,3.193,3,2,1,3.125,37,2
2,3,No-Name,0,Original,0,Extra Non-Innocuous,0,1,1,1,0,Female,1,3,2,61.329,202.616,1,2,1,3.5,50,3
2,2,Bolivia,0,Original,0,Original,0,1,0,1,1,Male,3,1,0,1657.61,40.17,3,0,1,2.5,39,2
3,4,No-Name,0,Original,1,Original,1,0,0,1,0,Female,1,3,0,206.208,36.564,2,1,0,2.5,50,2
1,1,Malaguay,0,Original,1,Original,0,0,0,0,0,Male,1,2,0,39.08,14.365,3,1,1,3,67,2
2,2,No-Name,0,Original,1,Extra Innocuous,0,1,1,0,0,Female,1,2,1,46.46,12.007,1,1,1,2.625,61,2
3,4,Malaguay,0,Original,1,Original,1,0,0,1,0,Female,1,4,0,71.448,30.092,3,1,0,2.625,66,2
1,4,Bolivia,0,Original,1,Original,1,1,0,1,0,Female,1,1,0,122.232,18.725,3,0,2,2.25,71,2
1,2,Malaguay,1,Reduced,0,Original,0,1,0,1,1,Male,1,2,0,29.338,11.871,1,0,2,3.5,72,2
2,3,Syria,0,Original,1,Extra Innocuous,1,1,1,1,0,Female,1,1,1,7.559,20.535,4,1,1,3.375,44,2
2,3,No-Name,0,Original,0,Extra Non-Innocuous,0,0,1,1,0,Female,1,1,2,292.419,34.177,2,3,1,2.5,69,2
2,4,Malaguay,1,Reduced,0,Extra Non-Innocuous,0,0,1,0,1,Male,1,2,2,96.21,54.796,2,3,2,3.125,69,3
3,3,Bolivia,0,Original,0,Extra Innocuous,0,1,1,1,0,Male,1,2,1,413.846,98.179,3,1,2,2.75,80,2
1,3,Syria,1,Reduced,0,Original,1,0,0,0,0,Female,1,4,0,107.236,44.627,4,1,0,2.375,74,2
2,4,Malaguay,0,Original,1,Original,1,0,0,1,1,Female,1,3,0,91.146,17.371,3,1,1,1.875,74,2
1,4,Syria,1,Reduced,0,Original,0,1,0,1,0,Female,1,1,0,198.349,55.523,3,0,1,2.625,71,2
2,2,No-Name,1,Reduced,0,Original,0,0,0,1,0,Female,1,3,0,92.713,46.87,1,1,0,3,66,2
1,2,No-Name,0,Original,0,Extra Non-Innocuous,0,0,1,1,1,Female,1,1,2,215.695,115.721,2,3,1,NA,68,2
2,3,Malaguay,1,Reduced,0,Original,0,1,0,1,1,Male,1,4,0,98.823,27.066,1,0,2,3.25,68,3
1,3,Malaguay,1,Reduced,1,Extra Non-Innocuous,1,1,1,0,0,Male,2,1,2,85.01,52.131,1,2,0,NA,76,2
2,3,Bolivia,0,Original,0,Extra Non-Innocuous,0,0,1,1,0,Female,1,2,2,61.072,64.436,4,3,0,3,78,2
1,4,No-Name,0,Original,1,Extra Innocuous,1,0,1,0,1,Female,1,2,1,31.285,75.142,2,2,0,3,67,2
2,2,Syria,0,Original,1,Extra Innocuous,0,0,1,0,1,Female,1,1,1,178.363,100.766,5,2,1,3,50,3
1,2,No-Name,1,Reduced,0,Extra Innocuous,0,1,1,0,0,Female,1,1,1,656.8,97.092,0,1,1,NA,64,2
3,4,Bolivia,0,Original,1,Extra Non-Innocuous,0,0,1,0,0,Female,1,2,2,160.553,49.194,4,3,1,3.375,54,1
3,3,Syria,1,Reduced,1,Extra Innocuous,0,1,1,1,0,Female,1,3,1,427.66,206.792,3,1,1,3,63,2
